BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
1,8.354,0.0835,3.789,22,263.9
1.1,8.357,0.0919,3.791,24.2,263.8
1.2,8.361,0.1003,3.793,26.4,263.7
1.3,8.364,0.1087,3.794,28.7,263.6
1.4,8.367,0.1171,3.795,30.9,263.5
1.5,8.371,0.1256,3.797,33.1,263.4
1.6,8.374,0.134,3.798,35.3,263.3
1.7,8.377,0.1424,3.8,37.5,263.2
1.8,8.38,0.1508,3.801,39.7,263.1
1.9,8.384,0.1593,3.803,41.9,263
2,8.387,0.1677,3.804,44.1,262.9
2.1,8.39,0.1762,3.806,46.3,262.8
2.2,8.393,0.1846,3.807,48.5,262.7
2.3,8.397,0.1931,3.809,50.7,262.5
2.4,8.4,0.2016,3.81,52.9,262.5
2.5,8.403,0.2101,3.812,55.1,262.4
2.6,8.406,0.2186,3.813,57.3,262.3
2.7,8.409,0.2271,3.814,59.5,262.2
2.8,8.413,0.2356,3.816,61.7,262
2.9,8.416,0.2441,3.817,63.9,262
3,8.419,0.2526,3.819,66.1,261.9
3.1,8.422,0.2611,3.82,68.3,261.8
3.2,8.426,0.2696,3.822,70.5,261.6
3.3,8.429,0.2782,3.823,72.8,261.5
3.4,8.432,0.2867,3.825,75,261.5
3.5,8.435,0.2952,3.826,77.2,261.4
3.6,8.439,0.3038,3.828,79.4,261.2
3.7,8.442,0.3124,3.829,81.6,261.1
3.8,8.445,0.3209,3.831,83.8,261.1
3.9,8.449,0.3295,3.832,86,260.9
4,8.452,0.3381,3.834,88.2,260.8
4.1,8.455,0.3467,3.835,90.4,260.7
4.2,8.459,0.3553,3.837,92.6,260.6
4.3,8.462,0.3639,3.838,94.8,260.5
4.4,8.465,0.3725,3.84,97,260.4
4.5,8.469,0.381,3.842,99.2,260.3
4.6,8.472,0.39,3.843,101.5,260.2
4.7,8.475,0.398,3.844,103.5,260.1
4.8,8.478,0.407,3.846,105.8,260
4.9,8.482,0.415,3.847,107.9,259.9
5,8.485,0.424,3.849,110.2,259.8
5.1,8.488,0.433,3.85,112.5,259.7
5.2,8.492,0.441,3.852,114.5,259.6
5.3,8.495,0.45,3.853,116.8,259.5
5.4,8.499,0.459,3.855,119.1,259.4
5.5,8.502,0.468,3.856,121.4,259.3
5.6,8.505,0.476,3.858,123.4,259.2
5.7,8.509,0.485,3.86,125.7,259.1
5.8,8.512,0.494,3.861,127.9,259
5.9,8.516,0.502,3.863,130,258.9
6,8.519,0.511,3.864,132.2,258.8
6.1,8.522,0.5198,3.866,134.5,258.7
6.2,8.526,0.529,3.867,136.8,258.6
6.3,8.529,0.5373,3.869,138.9,258.5
6.4,8.532,0.546,3.87,141.1,258.4
6.5,8.536,0.5548,3.872,143.3,258.3
6.6,8.539,0.564,3.873,145.6,258.2
6.7,8.542,0.5723,3.875,147.7,258.1
6.8,8.545,0.581,3.876,149.9,258
6.9,8.549,0.5899,3.878,152.1,257.9
7,8.552,0.599,3.879,154.4,257.8
7.1,8.555,0.5986,3.881,154.3,257.7
7.2,8.559,0.616,3.882,158.7,257.6
7.3,8.562,0.625,3.884,160.9,257.5
7.4,8.566,0.634,3.886,163.2,257.4
7.5,8.569,0.6427,3.887,165.4,257.3
7.6,8.573,0.651,3.889,167.4,257.2
7.7,8.575,0.6603,3.89,169.8,257.1
7.8,8.579,0.669,3.891,171.9,257
7.9,8.583,0.6781,3.893,174.2,256.9
8,8.586,0.687,3.895,176.4,256.8
8.1,8.589,0.6957,3.896,178.6,256.7
8.2,8.593,0.705,3.898,180.9,256.6
8.3,8.596,0.7135,3.899,183,256.5
8.4,8.6,0.722,3.901,185.1,256.3
8.5,8.603,0.7313,3.902,187.4,256.3
8.6,8.606,0.74,3.904,189.6,256.2
8.7,8.61,0.7491,3.905,191.8,256.1
8.8,8.613,0.758,3.907,194,256
8.9,8.617,0.7669,3.909,196.2,255.8
